Metric,Item,Region,Partner Region,Unit,Frequency,Start Date,End Date,Value
Producer Deliveries,Canola,Alberta,,tonne,monthly,1966-08-01,1966-08-31,1932
Producer Deliveries,Canola,Alberta,,tonne,monthly,1966-09-01,1966-09-30,24333
Producer Deliveries,Canola,Alberta,,tonne,monthly,1966-10-01,1966-10-31,31098
Producer Deliveries,Canola,Alberta,,tonne,monthly,1966-11-01,1966-11-30,15676
Producer Deliveries,Canola,Alberta,,tonne,monthly,1966-12-01,1966-12-31,20112
Producer Deliveries,Canola,Alberta,,tonne,monthly,1967-01-01,1967-01-31,12472
Producer Deliveries,Canola,Alberta,,tonne,monthly,1967-02-01,1967-02-28,23061
Producer Deliveries,Canola,Alberta,,tonne,monthly,1967-03-01,1967-03-31,11444
Producer Deliveries,Canola,Alberta,,tonne,monthly,1967-04-01,1967-04-30,23730
Producer Deliveries,Canola,Alberta,,tonne,monthly,1967-05-01,1967-05-31,8748
Producer Deliveries,Canola,Alberta,,tonne,monthly,1967-06-01,1967-06-30,12660
Producer Deliveries,Canola,Alberta,,tonne,monthly,1967-07-01,1967-07-31,25267
Producer Deliveries,Canola,Alberta,,tonne,monthly,1967-08-01,1967-08-31,392
Producer Deliveries,Canola,Alberta,,tonne,monthly,1967-09-01,1967-09-30,36759
Producer Deliveries,Canola,Alberta,,tonne,monthly,1967-10-01,1967-10-31,20727
Producer Deliveries,Canola,Alberta,,tonne,monthly,1967-11-01,1967-11-30,10848
Producer Deliveries,Canola,Alberta,,tonne,monthly,1967-12-01,1967-12-31,13717
Producer Deliveries,Canola,Alberta,,tonne,monthly,1968-01-01,1968-01-31,20614
Producer Deliveries,Canola,Alberta,,tonne,monthly,1968-02-01,1968-02-29,14080
Producer Deliveries,Canola,Alberta,,tonne,monthly,1968-03-01,1968-03-31,16479
Producer Deliveries,Canola,Alberta,,tonne,monthly,1968-04-01,1968-04-30,15461
Producer Deliveries,Canola,Alberta,,tonne,monthly,1968-05-01,1968-05-31,13816
Producer Deliveries,Canola,Alberta,,tonne,monthly,1968-06-01,1968-06-30,24891
Producer Deliveries,Canola,Alberta,,tonne,monthly,1968-07-01,1968-07-31,43019
Producer Deliveries,Canola,Alberta,,tonne,monthly,1968-08-01,1968-08-31,587
Producer Deliveries,Canola,Alberta,,tonne,monthly,1968-09-01,1968-09-30,6142
Producer Deliveries,Canola,Alberta,,tonne,monthly,1968-10-01,1968-10-31,16164
Producer Deliveries,Canola,Alberta,,tonne,monthly,1968-11-01,1968-11-30,10712
Producer Deliveries,Canola,Alberta,,tonne,monthly,1968-12-01,1968-12-31,7766
Producer Deliveries,Canola,Alberta,,tonne,monthly,1969-01-01,1969-01-31,11097
Producer Deliveries,Canola,Alberta,,tonne,monthly,1969-02-01,1969-02-28,12472
Producer Deliveries,Canola,Alberta,,tonne,monthly,1969-03-01,1969-03-31,26760
Producer Deliveries,Canola,Alberta,,tonne,monthly,1969-04-01,1969-04-30,15134
Producer Deliveries,Canola,Alberta,,tonne,monthly,1969-05-01,1969-05-31,9360
Producer Deliveries,Canola,Alberta,,tonne,monthly,1969-06-01,1969-06-30,13630
Producer Deliveries,Canola,Alberta,,tonne,monthly,1969-07-01,1969-07-31,28093
Producer Deliveries,Canola,Alberta,,tonne,monthly,1969-08-01,1969-08-31,1111
Producer Deliveries,Canola,Alberta,,tonne,monthly,1969-09-01,1969-09-30,25369
Producer Deliveries,Canola,Alberta,,tonne,monthly,1969-10-01,1969-10-31,44888
Producer Deliveries,Canola,Alberta,,tonne,monthly,1969-11-01,1969-11-30,33618
Producer Deliveries,Canola,Alberta,,tonne,monthly,1969-12-01,1969-12-31,13630
Producer Deliveries,Canola,Alberta,,tonne,monthly,1970-01-01,1970-01-31,26004
Producer Deliveries,Canola,Alberta,,tonne,monthly,1970-02-01,1970-02-28,15787
Producer Deliveries,Canola,Alberta,,tonne,monthly,1970-03-01,1970-03-31,18765
Producer Deliveries,Canola,Alberta,,tonne,monthly,1970-04-01,1970-04-30,12276
Producer Deliveries,Canola,Alberta,,tonne,monthly,1970-05-01,1970-05-31,14222
Producer Deliveries,Canola,Alberta,,tonne,monthly,1970-06-01,1970-06-30,7552
Producer Deliveries,Canola,Alberta,,tonne,monthly,1970-07-01,1970-07-31,8015
Producer Deliveries,Canola,Alberta,,tonne,monthly,1970-08-01,1970-08-31,9950
Producer Deliveries,Canola,Alberta,,tonne,monthly,1970-09-01,1970-09-30,89358
Producer Deliveries,Canola,Alberta,,tonne,monthly,1970-10-01,1970-10-31,53111
Producer Deliveries,Canola,Alberta,,tonne,monthly,1970-11-01,1970-11-30,71377
Producer Deliveries,Canola,Alberta,,tonne,monthly,1970-12-01,1970-12-31,21965
Producer Deliveries,Canola,Alberta,,tonne,monthly,1971-01-01,1971-01-31,56769
Producer Deliveries,Canola,Alberta,,tonne,monthly,1971-02-01,1971-02-28,45797
Producer Deliveries,Canola,Alberta,,tonne,monthly,1971-03-01,1971-03-31,30627
Producer Deliveries,Canola,Alberta,,tonne,monthly,1971-04-01,1971-04-30,12816
Producer Deliveries,Canola,Alberta,,tonne,monthly,1971-05-01,1971-05-31,35439
Producer Deliveries,Canola,Alberta,,tonne,monthly,1971-06-01,1971-06-30,26610
Producer Deliveries,Canola,Alberta,,tonne,monthly,1971-07-01,1971-07-31,30391
Producer Deliveries,Canola,Alberta,,tonne,monthly,1971-08-01,1971-08-31,11158
Producer Deliveries,Canola,Alberta,,tonne,monthly,1971-09-01,1971-09-30,64664
Producer Deliveries,Canola,Alberta,,tonne,monthly,1971-10-01,1971-10-31,76215
Producer Deliveries,Canola,Alberta,,tonne,monthly,1971-11-01,1971-11-30,35033
Producer Deliveries,Canola,Alberta,,tonne,monthly,1971-12-01,1971-12-31,18119
Producer Deliveries,Canola,Alberta,,tonne,monthly,1972-01-01,1972-01-31,16985
Producer Deliveries,Canola,Alberta,,tonne,monthly,1972-02-01,1972-02-29,42708
Producer Deliveries,Canola,Alberta,,tonne,monthly,1972-03-01,1972-03-31,42406
Producer Deliveries,Canola,Alberta,,tonne,monthly,1972-04-01,1972-04-30,68939
Producer Deliveries,Canola,Alberta,,tonne,monthly,1972-05-01,1972-05-31,29486
Producer Deliveries,Canola,Alberta,,tonne,monthly,1972-06-01,1972-06-30,30191
Producer Deliveries,Canola,Alberta,,tonne,monthly,1972-07-01,1972-07-31,115305
Producer Deliveries,Canola,Alberta,,tonne,monthly,1972-08-01,1972-08-31,24081
Producer Deliveries,Canola,Alberta,,tonne,monthly,1972-09-01,1972-09-30,30767
Producer Deliveries,Canola,Alberta,,tonne,monthly,1972-10-01,1972-10-31,57386
Producer Deliveries,Canola,Alberta,,tonne,monthly,1972-11-01,1972-11-30,54685
Producer Deliveries,Canola,Alberta,,tonne,monthly,1972-12-01,1972-12-31,73915
Producer Deliveries,Canola,Alberta,,tonne,monthly,1973-01-01,1973-01-31,77530
Producer Deliveries,Canola,Alberta,,tonne,monthly,1973-02-01,1973-02-28,48466
Producer Deliveries,Canola,Alberta,,tonne,monthly,1973-03-01,1973-03-31,19702
Producer Deliveries,Canola,Alberta,,tonne,monthly,1973-04-01,1973-04-30,22766
