Metric,Item,Region,Partner Region,Unit,Frequency,Start Date,End Date,Value
Producer Prices (currency/mass),Canola,Alberta,,Canadian dollar per tonne,monthly,1985-01-01,1985-01-31,342
Producer Prices (currency/mass),Canola,Alberta,,Canadian dollar per tonne,monthly,1985-02-01,1985-02-28,347.27
Producer Prices (currency/mass),Canola,Alberta,,Canadian dollar per tonne,monthly,1985-03-01,1985-03-31,350.04
Producer Prices (currency/mass),Canola,Alberta,,Canadian dollar per tonne,monthly,1985-04-01,1985-04-30,363.84
Producer Prices (currency/mass),Canola,Alberta,,Canadian dollar per tonne,monthly,1985-05-01,1985-05-31,354.58
Producer Prices (currency/mass),Canola,Alberta,,Canadian dollar per tonne,monthly,1985-06-01,1985-06-30,349.59
Producer Prices (currency/mass),Canola,Alberta,,Canadian dollar per tonne,monthly,1985-07-01,1985-07-31,335.06
Producer Prices (currency/mass),Canola,Alberta,,Canadian dollar per tonne,monthly,1985-08-01,1985-08-31,305.64
Producer Prices (currency/mass),Canola,Alberta,,Canadian dollar per tonne,monthly,1985-09-01,1985-09-30,302.87
Producer Prices (currency/mass),Canola,Alberta,,Canadian dollar per tonne,monthly,1985-10-01,1985-10-31,289.45
Producer Prices (currency/mass),Canola,Alberta,,Canadian dollar per tonne,monthly,1985-11-01,1985-11-30,283.31
Producer Prices (currency/mass),Canola,Alberta,,Canadian dollar per tonne,monthly,1985-12-01,1985-12-31,281.6
Producer Prices (currency/mass),Canola,Alberta,,Canadian dollar per tonne,monthly,1986-01-01,1986-01-31,281.59
Producer Prices (currency/mass),Canola,Alberta,,Canadian dollar per tonne,monthly,1986-02-01,1986-02-28,266.06
Producer Prices (currency/mass),Canola,Alberta,,Canadian dollar per tonne,monthly,1986-03-01,1986-03-31,261.31
Producer Prices (currency/mass),Canola,Alberta,,Canadian dollar per tonne,monthly,1986-04-01,1986-04-30,244.42
Producer Prices (currency/mass),Canola,Alberta,,Canadian dollar per tonne,monthly,1986-05-01,1986-05-31,240.22
Producer Prices (currency/mass),Canola,Alberta,,Canadian dollar per tonne,monthly,1986-06-01,1986-06-30,228.11
Producer Prices (currency/mass),Canola,Alberta,,Canadian dollar per tonne,monthly,1986-07-01,1986-07-31,216.4
Producer Prices (currency/mass),Canola,Alberta,,Canadian dollar per tonne,monthly,1986-08-01,1986-08-31,188
Producer Prices (currency/mass),Canola,Alberta,,Canadian dollar per tonne,monthly,1986-09-01,1986-09-30,186.97
Producer Prices (currency/mass),Canola,Alberta,,Canadian dollar per tonne,monthly,1986-10-01,1986-10-31,198.01
Producer Prices (currency/mass),Canola,Alberta,,Canadian dollar per tonne,monthly,1986-11-01,1986-11-30,206.21
Producer Prices (currency/mass),Canola,Alberta,,Canadian dollar per tonne,monthly,1986-12-01,1986-12-31,200.35
Producer Prices (currency/mass),Canola,Alberta,,Canadian dollar per tonne,monthly,1987-01-01,1987-01-31,200.08
Producer Prices (currency/mass),Canola,Alberta,,Canadian dollar per tonne,monthly,1987-02-01,1987-02-28,188.9
Producer Prices (currency/mass),Canola,Alberta,,Canadian dollar per tonne,monthly,1987-03-01,1987-03-31,182.67
Producer Prices (currency/mass),Canola,Alberta,,Canadian dollar per tonne,monthly,1987-04-01,1987-04-30,183.49
Producer Prices (currency/mass),Canola,Alberta,,Canadian dollar per tonne,monthly,1987-05-01,1987-05-31,205.9
Producer Prices (currency/mass),Canola,Alberta,,Canadian dollar per tonne,monthly,1987-06-01,1987-06-30,218.93
Producer Prices (currency/mass),Canola,Alberta,,Canadian dollar per tonne,monthly,1987-07-01,1987-07-31,222.49
