Metric,Item,Region,Partner Region,Unit,Frequency,Start Date,End Date,Value
Land Cover (area),Rapeseed,"Division No. 1 - Medicine Hat, Alberta",,hectare,point in time,2005-12-31,2005-12-31,21746.0902367
Land Cover (area),Rapeseed,"Division No. 1 - Medicine Hat, Alberta",,hectare,point in time,2010-12-31,2010-12-31,34507.0710059
Land Cover (area),Rapeseed,"Division No. 10 - Lloydminster, Alberta",,hectare,point in time,2005-12-31,2005-12-31,294381.491124
Land Cover (area),Rapeseed,"Division No. 10 - Lloydminster, Alberta",,hectare,point in time,2010-12-31,2010-12-31,358510.816568
Land Cover (area),Rapeseed,"Division No. 11 - Edmonton, Alberta",,hectare,point in time,2005-12-31,2005-12-31,159667.088757
Land Cover (area),Rapeseed,"Division No. 11 - Edmonton, Alberta",,hectare,point in time,2010-12-31,2010-12-31,139119.881657
Land Cover (area),Rapeseed,"Division No. 12 - Cold Lake, Alberta",,hectare,point in time,2005-12-31,2005-12-31,116901.751479
Land Cover (area),Rapeseed,"Division No. 12 - Cold Lake, Alberta",,hectare,point in time,2010-12-31,2010-12-31,59478.2189349
Land Cover (area),Rapeseed,"Division No. 13 - Whitecourt, Alberta",,hectare,point in time,2005-12-31,2005-12-31,164603.005917
Land Cover (area),Rapeseed,"Division No. 13 - Whitecourt, Alberta",,hectare,point in time,2010-12-31,2010-12-31,137862.284024
Land Cover (area),Rapeseed,"Division No. 14 - Hinton, Alberta",,hectare,point in time,2005-12-31,2005-12-31,7030.54142012
Land Cover (area),Rapeseed,"Division No. 14 - Hinton, Alberta",,hectare,point in time,2010-12-31,2010-12-31,6049.14053254
Land Cover (area),Rapeseed,"Division No. 15 - Canmore, Alberta",,hectare,point in time,2005-12-31,2005-12-31,1745.56786243
Land Cover (area),Rapeseed,"Division No. 15 - Canmore, Alberta",,hectare,point in time,2010-12-31,2010-12-31,142.559610762
Land Cover (area),Rapeseed,"Division No. 16 - Fort McMurray, Alberta",,hectare,point in time,2005-12-31,2005-12-31,0.165384631185
Land Cover (area),Rapeseed,"Division No. 16 - Fort McMurray, Alberta",,hectare,point in time,2010-12-31,2010-12-31,0
Land Cover (area),Rapeseed,"Division No. 17 - Slave Lake, Alberta",,hectare,point in time,2005-12-31,2005-12-31,36029.0857988
Land Cover (area),Rapeseed,"Division No. 17 - Slave Lake, Alberta",,hectare,point in time,2010-12-31,2010-12-31,160347.218935
Land Cover (area),Rapeseed,"Division No. 18 - Grande Cache, Alberta",,hectare,point in time,2005-12-31,2005-12-31,4596.37426036
Land Cover (area),Rapeseed,"Division No. 18 - Grande Cache, Alberta",,hectare,point in time,2010-12-31,2010-12-31,23578.0369822
Land Cover (area),Rapeseed,"Division No. 19 - Grande Prairie, Alberta",,hectare,point in time,2005-12-31,2005-12-31,97547.4615385
Land Cover (area),Rapeseed,"Division No. 19 - Grande Prairie, Alberta",,hectare,point in time,2010-12-31,2010-12-31,275071.976331
Land Cover (area),Rapeseed,"Division No. 2 - Lethbridge, Alberta",,hectare,point in time,2005-12-31,2005-12-31,91327.2189349
Land Cover (area),Rapeseed,"Division No. 2 - Lethbridge, Alberta",,hectare,point in time,2010-12-31,2010-12-31,93204.1183432
Land Cover (area),Rapeseed,"Division No. 3 - Claresholm, Alberta",,hectare,point in time,2005-12-31,2005-12-31,54217.3727811
Land Cover (area),Rapeseed,"Division No. 3 - Claresholm, Alberta",,hectare,point in time,2010-12-31,2010-12-31,43470.035503
Land Cover (area),Rapeseed,"Division No. 4 - Hanna, Alberta",,hectare,point in time,2005-12-31,2005-12-31,8182.9489645
Land Cover (area),Rapeseed,"Division No. 4 - Hanna, Alberta",,hectare,point in time,2010-12-31,2010-12-31,25674.6568047
Land Cover (area),Rapeseed,"Division No. 5 - Strathmore, Alberta",,hectare,point in time,2005-12-31,2005-12-31,146206.769231
Land Cover (area),Rapeseed,"Division No. 5 - Strathmore, Alberta",,hectare,point in time,2010-12-31,2010-12-31,240152.852071
Land Cover (area),Rapeseed,"Division No. 6 - Calgary, Alberta",,hectare,point in time,2005-12-31,2005-12-31,136728.331361
Land Cover (area),Rapeseed,"Division No. 6 - Calgary, Alberta",,hectare,point in time,2010-12-31,2010-12-31,107147.881657
Land Cover (area),Rapeseed,"Division No. 7 - Wainwright, Alberta",,hectare,point in time,2005-12-31,2005-12-31,181254.556213
Land Cover (area),Rapeseed,"Division No. 7 - Wainwright, Alberta",,hectare,point in time,2010-12-31,2010-12-31,215397.869822
Land Cover (area),Rapeseed,"Division No. 8 - Red Deer, Alberta",,hectare,point in time,2005-12-31,2005-12-31,120445.656805
Land Cover (area),Rapeseed,"Division No. 8 - Red Deer, Alberta",,hectare,point in time,2010-12-31,2010-12-31,110668.224852
Land Cover (area),Rapeseed,"Division No. 9 - Rocky Mountain House, Alberta",,hectare,point in time,2005-12-31,2005-12-31,20451.9556213
Land Cover (area),Rapeseed,"Division No. 9 - Rocky Mountain House, Alberta",,hectare,point in time,2010-12-31,2010-12-31,3227.31656805
Land Cover (area),Rapeseed,"Alberni-Clayoquot, British Columbia",,hectare,point in time,2005-12-31,2005-12-31,132.568798539
Land Cover (area),Rapeseed,"Alberni-Clayoquot, British Columbia",,hectare,point in time,2010-12-31,2010-12-31,46.6186378976
Land Cover (area),Rapeseed,"Bulkley-Nechako, British Columbia",,hectare,point in time,2005-12-31,2005-12-31,1038.70386464
Land Cover (area),Rapeseed,"Bulkley-Nechako, British Columbia",,hectare,point in time,2010-12-31,2010-12-31,304.10535318
Land Cover (area),Rapeseed,"Capital, British Columbia",,hectare,point in time,2005-12-31,2005-12-31,259.576322115
Land Cover (area),Rapeseed,"Capital, British Columbia",,hectare,point in time,2010-12-31,2010-12-31,387.027528661
Land Cover (area),Rapeseed,"Cariboo, British Columbia",,hectare,point in time,2005-12-31,2005-12-31,2963.42048817
Land Cover (area),Rapeseed,"Cariboo, British Columbia",,hectare,point in time,2010-12-31,2010-12-31,2539.51793639
Land Cover (area),Rapeseed,"Central Coast, British Columbia",,hectare,point in time,2005-12-31,2005-12-31,0
Land Cover (area),Rapeseed,"Central Coast, British Columbia",,hectare,point in time,2010-12-31,2010-12-31,0
Land Cover (area),Rapeseed,"Central Kootenay, British Columbia",,hectare,point in time,2005-12-31,2005-12-31,357.346315643
Land Cover (area),Rapeseed,"Central Kootenay, British Columbia",,hectare,point in time,2010-12-31,2010-12-31,415.463156435
Land Cover (area),Rapeseed,"Central Okanagan, British Columbia",,hectare,point in time,2005-12-31,2005-12-31,959.562684911
