Metric,Item,Region,Partner Region,Unit,Frequency,Start Date,End Date,Value
Area Planted (area),Canola,Alberta,,hectare,annual,1908-01-01,1908-12-31,null
Area Planted (area),Canola,Alberta,,hectare,annual,1909-01-01,1909-12-31,null
Area Planted (area),Canola,Alberta,,hectare,annual,1910-01-01,1910-12-31,null
Area Planted (area),Canola,Alberta,,hectare,annual,1911-01-01,1911-12-31,null
Area Planted (area),Canola,Alberta,,hectare,annual,1912-01-01,1912-12-31,null
Area Planted (area),Canola,Alberta,,hectare,annual,1913-01-01,1913-12-31,null
Area Planted (area),Canola,Alberta,,hectare,annual,1914-01-01,1914-12-31,null
Area Planted (area),Canola,Alberta,,hectare,annual,1915-01-01,1915-12-31,null
Area Planted (area),Canola,Alberta,,hectare,annual,1916-01-01,1916-12-31,null
Area Planted (area),Canola,Alberta,,hectare,annual,1917-01-01,1917-12-31,null
Area Planted (area),Canola,Alberta,,hectare,annual,1918-01-01,1918-12-31,null
Area Planted (area),Canola,Alberta,,hectare,annual,1919-01-01,1919-12-31,null
Area Planted (area),Canola,Alberta,,hectare,annual,1920-01-01,1920-12-31,null
Area Planted (area),Canola,Alberta,,hectare,annual,1921-01-01,1921-12-31,null
Area Planted (area),Canola,Alberta,,hectare,annual,1922-01-01,1922-12-31,null
Area Planted (area),Canola,Alberta,,hectare,annual,1923-01-01,1923-12-31,null
Area Planted (area),Canola,Alberta,,hectare,annual,1924-01-01,1924-12-31,null
Area Planted (area),Canola,Alberta,,hectare,annual,1925-01-01,1925-12-31,null
Area Planted (area),Canola,Alberta,,hectare,annual,1926-01-01,1926-12-31,null
Area Planted (area),Canola,Alberta,,hectare,annual,1927-01-01,1927-12-31,null
Area Planted (area),Canola,Alberta,,hectare,annual,1928-01-01,1928-12-31,null
Area Planted (area),Canola,Alberta,,hectare,annual,1929-01-01,1929-12-31,null
Area Planted (area),Canola,Alberta,,hectare,annual,1930-01-01,1930-12-31,null
Area Planted (area),Canola,Alberta,,hectare,annual,1931-01-01,1931-12-31,null
Area Planted (area),Canola,Alberta,,hectare,annual,1932-01-01,1932-12-31,null
Area Planted (area),Canola,Alberta,,hectare,annual,1933-01-01,1933-12-31,null
Area Planted (area),Canola,Alberta,,hectare,annual,1934-01-01,1934-12-31,null
Area Planted (area),Canola,Alberta,,hectare,annual,1935-01-01,1935-12-31,null
Area Planted (area),Canola,Alberta,,hectare,annual,1936-01-01,1936-12-31,null
Area Planted (area),Canola,Alberta,,hectare,annual,1937-01-01,1937-12-31,null
Area Planted (area),Canola,Alberta,,hectare,annual,1938-01-01,1938-12-31,null
Area Planted (area),Canola,Alberta,,hectare,annual,1939-01-01,1939-12-31,null
Area Planted (area),Canola,Alberta,,hectare,annual,1940-01-01,1940-12-31,null
Area Planted (area),Canola,Alberta,,hectare,annual,1941-01-01,1941-12-31,null
Area Planted (area),Canola,Alberta,,hectare,annual,1942-01-01,1942-12-31,null
Area Planted (area),Canola,Alberta,,hectare,annual,1943-01-01,1943-12-31,null
Area Planted (area),Canola,Alberta,,hectare,annual,1944-01-01,1944-12-31,null
Area Planted (area),Canola,Alberta,,hectare,annual,1945-01-01,1945-12-31,null
Area Planted (area),Canola,Alberta,,hectare,annual,1946-01-01,1946-12-31,null
Area Planted (area),Canola,Alberta,,hectare,annual,1947-01-01,1947-12-31,null
Area Planted (area),Canola,Alberta,,hectare,annual,1948-01-01,1948-12-31,null
Area Planted (area),Canola,Alberta,,hectare,annual,1949-01-01,1949-12-31,null
Area Planted (area),Canola,Alberta,,hectare,annual,1950-01-01,1950-12-31,null
Area Planted (area),Canola,Alberta,,hectare,annual,1951-01-01,1951-12-31,null
Area Planted (area),Canola,Alberta,,hectare,annual,1952-01-01,1952-12-31,null
Area Planted (area),Canola,Alberta,,hectare,annual,1953-01-01,1953-12-31,null
Area Planted (area),Canola,Alberta,,hectare,annual,1954-01-01,1954-12-31,null
Area Planted (area),Canola,Alberta,,hectare,annual,1955-01-01,1955-12-31,3237.4851375999997
Area Planted (area),Canola,Alberta,,hectare,annual,1956-01-01,1956-12-31,10440.88956876
Area Planted (area),Canola,Alberta,,hectare,annual,1957-01-01,1957-12-31,28327.994953999998
Area Planted (area),Canola,Alberta,,hectare,annual,1958-01-01,1958-12-31,28300
Area Planted (area),Canola,Alberta,,hectare,annual,1959-01-01,1959-12-31,14771.0259403
Area Planted (area),Canola,Alberta,,hectare,annual,1960-01-01,1960-12-31,72800
Area Planted (area),Canola,Alberta,,hectare,annual,1961-01-01,1961-12-31,124238.49215539999
Area Planted (area),Canola,Alberta,,hectare,annual,1962-01-01,1962-12-31,69605.9304584
Area Planted (area),Canola,Alberta,,hectare,annual,1963-01-01,1963-12-31,90244.89821059999
Area Planted (area),Canola,Alberta,,hectare,annual,1964-01-01,1964-12-31,163500
Area Planted (area),Canola,Alberta,,hectare,annual,1965-01-01,1965-12-31,297400
Area Planted (area),Canola,Alberta,,hectare,annual,1966-01-01,1966-12-31,252523.84073280002
Area Planted (area),Canola,Alberta,,hectare,annual,1967-01-01,1967-12-31,354100
Area Planted (area),Canola,Alberta,,hectare,annual,1968-01-01,1968-12-31,182100
Area Planted (area),Canola,Alberta,,hectare,annual,1969-01-01,1969-12-31,330200
Area Planted (area),Canola,Alberta,,hectare,annual,1970-01-01,1970-12-31,586794.1811899999
Area Planted (area),Canola,Alberta,,hectare,annual,1971-01-01,1971-12-31,804500
Area Planted (area),Canola,Alberta,,hectare,annual,1972-01-01,1972-12-31,526100
Area Planted (area),Canola,Alberta,,hectare,annual,1973-01-01,1973-12-31,526091.33486
Area Planted (area),Canola,Alberta,,hectare,annual,1974-01-01,1974-12-31,465400
Area Planted (area),Canola,Alberta,,hectare,annual,1975-01-01,1975-12-31,687965.59174
Area Planted (area),Canola,Alberta,,hectare,annual,1976-01-01,1976-12-31,303500
Area Planted (area),Canola,Alberta,,hectare,annual,1977-01-01,1977-12-31,627262.74541
Area Planted (area),Canola,Alberta,,hectare,annual,1978-01-01,1978-12-31,1193822.6444899999
Area Planted (area),Canola,Alberta,,hectare,annual,1979-01-01,1979-12-31,1416399.7477
Area Planted (area),Canola,Alberta,,hectare,annual,1980-01-01,1980-12-31,890308.41284
Area Planted (area),Canola,Alberta,,hectare,annual,1981-01-01,1981-12-31,586800
Area Planted (area),Canola,Alberta,,hectare,annual,1982-01-01,1982-12-31,768900
Area Planted (area),Canola,Alberta,,hectare,annual,1983-01-01,1983-12-31,1011714.1055
Area Planted (area),Canola,Alberta,,hectare,annual,1984-01-01,1984-12-31,1214056.9266
Area Planted (area),Canola,Alberta,,hectare,annual,1985-01-01,1985-12-31,1133000
Area Planted (area),Canola,Alberta,,hectare,annual,1986-01-01,1986-12-31,1133119.79816
Area Planted (area),Canola,Alberta,,hectare,annual,1987-01-01,1987-12-31,1173588.3623799998
Area Planted (area),Canola,Alberta,,hectare,annual,1988-01-01,1988-12-31,1456900
Area Planted (area),Canola,Alberta,,hectare,annual,1989-01-01,1989-12-31,1092651.23394
Area Planted (area),Canola,Alberta,,hectare,annual,1990-01-01,1990-12-31,991479.8233899999
Area Planted (area),Canola,Alberta,,hectare,annual,1991-01-01,1991-12-31,1206825
Area Planted (area),Canola,Alberta,,hectare,annual,1992-01-01,1992-12-31,1153400
Area Planted (area),Canola,Alberta,,hectare,annual,1993-01-01,1993-12-31,1477100
Area Planted (area),Canola,Alberta,,hectare,annual,1994-01-01,1994-12-31,2023428.211
Area Planted (area),Canola,Alberta,,hectare,annual,1995-01-01,1995-12-31,1800900
Area Planted (area),Canola,Alberta,,hectare,annual,1996-01-01,1996-12-31,1274759.77293
Area Planted (area),Canola,Alberta,,hectare,annual,1997-01-01,1997-12-31,1618742.5688
Area Planted (area),Canola,Alberta,,hectare,annual,1998-01-01,1998-12-31,1760382.54357
Area Planted (area),Canola,Alberta,,hectare,annual,1999-01-01,1999-12-31,1841300
Area Planted (area),Canola,Alberta,,hectare,annual,2000-01-01,2000-12-31,1537805.44036
Area Planted (area),Canola,Alberta,,hectare,annual,2001-01-01,2001-12-31,1092651.23394
Area Planted (area),Canola,Alberta,,hectare,annual,2002-01-01,2002-12-31,1193800
Area Planted (area),Canola,Alberta,,hectare,annual,2003-01-01,2003-12-31,1355700
Area Planted (area),Canola,Alberta,,hectare,annual,2004-01-01,2004-12-31,1608625.427745
Area Planted (area),Canola,Alberta,,hectare,annual,2005-01-01,2005-12-31,1740148.26146
Area Planted (area),Canola,Alberta,,hectare,annual,2006-01-01,2006-12-31,1821085.3899
Area Planted (area),Canola,Alberta,,hectare,annual,2007-01-01,2007-12-31,2037600
Area Planted (area),Canola,Alberta,,hectare,annual,2008-01-01,2008-12-31,2104365.33944
Area Planted (area),Canola,Alberta,,hectare,annual,2009-01-01,2009-12-31,2023400
Area Planted (area),Canola,Alberta,,hectare,annual,2010-01-01,2010-12-31,2246000
Area Planted (area),Canola,Alberta,,hectare,annual,2011-01-01,2011-12-31,2457100
Area Planted (area),Canola,Alberta,,hectare,annual,2012-01-01,2012-12-31,2711393.8027399997
Area Planted (area),Canola,Alberta,,hectare,annual,2013-01-01,2013-12-31,2565700
Area Planted (area),Canola,Alberta,,hectare,annual,2014-01-01,2014-12-31,2751900
Area Planted (area),Canola,Alberta,,hectare,annual,2015-01-01,2015-12-31,2535400
Area Planted (area),Canola,Alberta,,hectare,annual,2016-01-01,2016-12-31,2495200
Area Planted (area),Canola,Alberta,,hectare,annual,2017-01-01,2017-12-31,2804471.500446
