Metric,Item,Region,Partner Region,Unit,Frequency,Start Date,End Date,Value
Area Harvested (area),Canola,Alberta Small Area Data Region 41,,hectare,annual,1976-01-01,1976-12-31,0
Area Harvested (area),Canola,Alberta Small Area Data Region 41,,hectare,annual,1977-01-01,1977-12-31,0
Area Harvested (area),Canola,Alberta Small Area Data Region 41,,hectare,annual,1978-01-01,1978-12-31,188700
Area Harvested (area),Canola,Alberta Small Area Data Region 41,,hectare,annual,1979-01-01,1979-12-31,231700
Area Harvested (area),Canola,Alberta Small Area Data Region 41,,hectare,annual,1980-01-01,1980-12-31,152400
Area Harvested (area),Canola,Alberta Small Area Data Region 41,,hectare,annual,1981-01-01,1981-12-31,135800
Area Harvested (area),Canola,Alberta Small Area Data Region 41,,hectare,annual,1982-01-01,1982-12-31,178300
Area Harvested (area),Canola,Alberta Small Area Data Region 41,,hectare,annual,1983-01-01,1983-12-31,227600
Area Harvested (area),Canola,Alberta Small Area Data Region 41,,hectare,annual,1984-01-01,1984-12-31,251100
Area Harvested (area),Canola,Alberta Small Area Data Region 41,,hectare,annual,1985-01-01,1985-12-31,240900
Area Harvested (area),Canola,Alberta Small Area Data Region 41,,hectare,annual,1986-01-01,1986-12-31,251300
Area Harvested (area),Canola,Alberta Small Area Data Region 41,,hectare,annual,1987-01-01,1987-12-31,241100
Area Harvested (area),Canola,Alberta Small Area Data Region 41,,hectare,annual,1988-01-01,1988-12-31,305100
Area Harvested (area),Canola,Alberta Small Area Data Region 41,,hectare,annual,1989-01-01,1989-12-31,250500
Area Harvested (area),Canola,Alberta Small Area Data Region 41,,hectare,annual,1990-01-01,1990-12-31,225000
Area Harvested (area),Canola,Alberta Small Area Data Region 41,,hectare,annual,1991-01-01,1991-12-31,265200
Area Harvested (area),Canola,Alberta Small Area Data Region 41,,hectare,annual,1992-01-01,1992-12-31,234100
Area Harvested (area),Canola,Alberta Small Area Data Region 41,,hectare,annual,1993-01-01,1993-12-31,285100
Area Harvested (area),Canola,Alberta Small Area Data Region 41,,hectare,annual,1994-01-01,1994-12-31,380500
Area Harvested (area),Canola,Alberta Small Area Data Region 41,,hectare,annual,1995-01-01,1995-12-31,282400
Area Harvested (area),Canola,Alberta Small Area Data Region 41,,hectare,annual,1996-01-01,1996-12-31,206800
Area Harvested (area),Canola,Alberta Small Area Data Region 41,,hectare,annual,1997-01-01,1997-12-31,305600
Area Harvested (area),Canola,Alberta Small Area Data Region 41,,hectare,annual,1998-01-01,1998-12-31,310600
Area Harvested (area),Canola,Alberta Small Area Data Region 41,,hectare,annual,1999-01-01,1999-12-31,330900
Area Harvested (area),Canola,Alberta Small Area Data Region 41,,hectare,annual,2000-01-01,2000-12-31,325500
Area Harvested (area),Canola,Alberta Small Area Data Region 41,,hectare,annual,2001-01-01,2001-12-31,268000
Area Harvested (area),Canola,Alberta Small Area Data Region 41,,hectare,annual,2002-01-01,2002-12-31,223900
Area Harvested (area),Canola,Alberta Small Area Data Region 41,,hectare,annual,2003-01-01,2003-12-31,280800
Area Harvested (area),Canola,Alberta Small Area Data Region 41,,hectare,annual,2004-01-01,2004-12-31,319400
Area Harvested (area),Canola,Alberta Small Area Data Region 41,,hectare,annual,2005-01-01,2005-12-31,320000
Area Harvested (area),Canola,Alberta Small Area Data Region 41,,hectare,annual,2006-01-01,2006-12-31,329300
Area Harvested (area),Canola,Alberta Small Area Data Region 41,,hectare,annual,2007-01-01,2007-12-31,413800
Area Harvested (area),Canola,Alberta Small Area Data Region 41,,hectare,annual,2008-01-01,2008-12-31,397300
Area Harvested (area),Canola,Alberta Small Area Data Region 41,,hectare,annual,2009-01-01,2009-12-31,323300
Area Harvested (area),Canola,Alberta Small Area Data Region 41,,hectare,annual,2010-01-01,2010-12-31,394700
Area Harvested (area),Canola,Alberta Small Area Data Region 41,,hectare,annual,2011-01-01,2011-12-31,415400
Area Harvested (area),Canola,Alberta Small Area Data Region 41,,hectare,annual,2012-01-01,2012-12-31,437600
Area Harvested (area),Canola,Alberta Small Area Data Region 41,,hectare,annual,2013-01-01,2013-12-31,447200
Area Harvested (area),Canola,Alberta Small Area Data Region 41,,hectare,annual,2014-01-01,2014-12-31,451200
Area Harvested (area),Canola,Alberta Small Area Data Region 41,,hectare,annual,2015-01-01,2015-12-31,440100
Area Harvested (area),Canola,Alberta Small Area Data Region 41,,hectare,annual,2016-01-01,2016-12-31,413900
Area Harvested (area),Canola,Alberta Small Area Data Region 41,,hectare,annual,2017-01-01,2017-12-31,431400
Area Harvested (area),Canola,Alberta Small Area Data Region 41,,hectare,annual,2018-01-01,2018-12-31,463600
Area Harvested (area),Canola,Alberta Small Area Data Region 20,,hectare,annual,1976-01-01,1976-12-31,0
Area Harvested (area),Canola,Alberta Small Area Data Region 20,,hectare,annual,1977-01-01,1977-12-31,0
Area Harvested (area),Canola,Alberta Small Area Data Region 20,,hectare,annual,1978-01-01,1978-12-31,105400
Area Harvested (area),Canola,Alberta Small Area Data Region 20,,hectare,annual,1979-01-01,1979-12-31,120900
Area Harvested (area),Canola,Alberta Small Area Data Region 20,,hectare,annual,1980-01-01,1980-12-31,85600
Area Harvested (area),Canola,Alberta Small Area Data Region 20,,hectare,annual,1981-01-01,1981-12-31,45600
Area Harvested (area),Canola,Alberta Small Area Data Region 20,,hectare,annual,1982-01-01,1982-12-31,54700
Area Harvested (area),Canola,Alberta Small Area Data Region 20,,hectare,annual,1983-01-01,1983-12-31,62600
Area Harvested (area),Canola,Alberta Small Area Data Region 20,,hectare,annual,1984-01-01,1984-12-31,103000
Area Harvested (area),Canola,Alberta Small Area Data Region 20,,hectare,annual,1985-01-01,1985-12-31,96100
Area Harvested (area),Canola,Alberta Small Area Data Region 20,,hectare,annual,1986-01-01,1986-12-31,83000
Area Harvested (area),Canola,Alberta Small Area Data Region 20,,hectare,annual,1987-01-01,1987-12-31,96400
Area Harvested (area),Canola,Alberta Small Area Data Region 20,,hectare,annual,1988-01-01,1988-12-31,140800
Area Harvested (area),Canola,Alberta Small Area Data Region 20,,hectare,annual,1989-01-01,1989-12-31,93500
Area Harvested (area),Canola,Alberta Small Area Data Region 20,,hectare,annual,1990-01-01,1990-12-31,70500
Area Harvested (area),Canola,Alberta Small Area Data Region 20,,hectare,annual,1991-01-01,1991-12-31,107100
Area Harvested (area),Canola,Alberta Small Area Data Region 20,,hectare,annual,1992-01-01,1992-12-31,105300
Area Harvested (area),Canola,Alberta Small Area Data Region 20,,hectare,annual,1993-01-01,1993-12-31,164900
Area Harvested (area),Canola,Alberta Small Area Data Region 20,,hectare,annual,1994-01-01,1994-12-31,294600
Area Harvested (area),Canola,Alberta Small Area Data Region 20,,hectare,annual,1995-01-01,1995-12-31,246200
Area Harvested (area),Canola,Alberta Small Area Data Region 20,,hectare,annual,1996-01-01,1996-12-31,183100
