Metric,Item,Region,Partner Region,Unit,Frequency,Start Date,End Date,Value
El Niño Southern Oscillation Index,Multivariate ENSO Index,World,World,index,monthly,1/1/79,1/31/79,0.47
El Niño Southern Oscillation Index,Multivariate ENSO Index,World,World,index,monthly,2/1/79,2/28/79,0.26
El Niño Southern Oscillation Index,Multivariate ENSO Index,World,World,index,monthly,3/1/79,3/31/79,-0.08
El Niño Southern Oscillation Index,Multivariate ENSO Index,World,World,index,monthly,4/1/79,4/30/79,0.2
El Niño Southern Oscillation Index,Multivariate ENSO Index,World,World,index,monthly,5/1/79,5/31/79,0.27
El Niño Southern Oscillation Index,Multivariate ENSO Index,World,World,index,monthly,6/1/79,6/30/79,-0.15
El Niño Southern Oscillation Index,Multivariate ENSO Index,World,World,index,monthly,7/1/79,7/31/79,-0.14
El Niño Southern Oscillation Index,Multivariate ENSO Index,World,World,index,monthly,8/1/79,8/31/79,0.44
El Niño Southern Oscillation Index,Multivariate ENSO Index,World,World,index,monthly,9/1/79,9/30/79,0.38
El Niño Southern Oscillation Index,Multivariate ENSO Index,World,World,index,monthly,10/1/79,10/31/79,0.24
El Niño Southern Oscillation Index,Multivariate ENSO Index,World,World,index,monthly,11/1/79,11/30/79,0.52
El Niño Southern Oscillation Index,Multivariate ENSO Index,World,World,index,monthly,12/1/79,12/31/79,0.65
El Niño Southern Oscillation Index,Multivariate ENSO Index,World,World,index,monthly,1/1/80,1/31/80,0.35
El Niño Southern Oscillation Index,Multivariate ENSO Index,World,World,index,monthly,2/1/80,2/29/80,0.19
El Niño Southern Oscillation Index,Multivariate ENSO Index,World,World,index,monthly,3/1/80,3/31/80,0.41
El Niño Southern Oscillation Index,Multivariate ENSO Index,World,World,index,monthly,4/1/80,4/30/80,0.59
El Niño Southern Oscillation Index,Multivariate ENSO Index,World,World,index,monthly,5/1/80,5/31/80,0.55
El Niño Southern Oscillation Index,Multivariate ENSO Index,World,World,index,monthly,6/1/80,6/30/80,0.62
El Niño Southern Oscillation Index,Multivariate ENSO Index,World,World,index,monthly,7/1/80,7/31/80,0.62
El Niño Southern Oscillation Index,Multivariate ENSO Index,World,World,index,monthly,8/1/80,8/31/80,0.15
El Niño Southern Oscillation Index,Multivariate ENSO Index,World,World,index,monthly,9/1/80,9/30/80,0.2
El Niño Southern Oscillation Index,Multivariate ENSO Index,World,World,index,monthly,10/1/80,10/31/80,0.09
El Niño Southern Oscillation Index,Multivariate ENSO Index,World,World,index,monthly,11/1/80,11/30/80,-0.03
El Niño Southern Oscillation Index,Multivariate ENSO Index,World,World,index,monthly,12/1/80,12/31/80,-0.06
El Niño Southern Oscillation Index,Multivariate ENSO Index,World,World,index,monthly,1/1/81,1/31/81,-0.33
El Niño Southern Oscillation Index,Multivariate ENSO Index,World,World,index,monthly,2/1/81,2/28/81,-0.24
