Metric,Item,Region,Partner Region,Unit,Frequency,Start Date,End Date,Value
Texture,Clay content at 15 cm deep,"Division No. 1 - Medicine Hat, Alberta",,mass percent,point in time,12/31/16,12/31/16,27.62832417
Texture,Clay content at 15 cm deep,"Division No. 10 - Lloydminster, Alberta",,mass percent,point in time,12/31/16,12/31/16,22.22295959
Texture,Clay content at 15 cm deep,"Division No. 11 - Edmonton, Alberta",,mass percent,point in time,12/31/16,12/31/16,23.23454631
Texture,Clay content at 15 cm deep,"Division No. 12 - Cold Lake, Alberta",,mass percent,point in time,12/31/16,12/31/16,19.89135782
Texture,Clay content at 15 cm deep,"Division No. 13 - Whitecourt, Alberta",,mass percent,point in time,12/31/16,12/31/16,21.68008968
Texture,Clay content at 15 cm deep,"Division No. 14 - Hinton, Alberta",,mass percent,point in time,12/31/16,12/31/16,18.38210585
Texture,Clay content at 15 cm deep,"Division No. 15 - Canmore, Alberta",,mass percent,point in time,12/31/16,12/31/16,14.39655931
Texture,Clay content at 15 cm deep,"Division No. 16 - Fort McMurray, Alberta",,mass percent,point in time,12/31/16,12/31/16,23.43218771
Texture,Clay content at 15 cm deep,"Division No. 17 - Slave Lake, Alberta",,mass percent,point in time,12/31/16,12/31/16,26.58304158
Texture,Clay content at 15 cm deep,"Division No. 18 - Grande Cache, Alberta",,mass percent,point in time,12/31/16,12/31/16,20.54580927
Texture,Clay content at 15 cm deep,"Division No. 19 - Grande Prairie, Alberta",,mass percent,point in time,12/31/16,12/31/16,29.55084437
Texture,Clay content at 15 cm deep,"Division No. 2 - Lethbridge, Alberta",,mass percent,point in time,12/31/16,12/31/16,27.43972852
Texture,Clay content at 15 cm deep,"Division No. 3 - Claresholm, Alberta",,mass percent,point in time,12/31/16,12/31/16,25.88618971
Texture,Clay content at 15 cm deep,"Division No. 4 - Hanna, Alberta",,mass percent,point in time,12/31/16,12/31/16,25.04544454
