Metric,Item,Region,Partner Region,Unit,Frequency,Start Date,End Date,Value
Texture,Sand content at the surface,"Division No. 1 - Medicine Hat, Alberta",,mass percent,point in time,12/31/16,12/31/16,37.56433816
Texture,Sand content at the surface,"Division No. 10 - Lloydminster, Alberta",,mass percent,point in time,12/31/16,12/31/16,45.89740024
Texture,Sand content at the surface,"Division No. 11 - Edmonton, Alberta",,mass percent,point in time,12/31/16,12/31/16,39.7535959
Texture,Sand content at the surface,"Division No. 12 - Cold Lake, Alberta",,mass percent,point in time,12/31/16,12/31/16,48.30299848
Texture,Sand content at the surface,"Division No. 13 - Whitecourt, Alberta",,mass percent,point in time,12/31/16,12/31/16,42.98631136
Texture,Sand content at the surface,"Division No. 14 - Hinton, Alberta",,mass percent,point in time,12/31/16,12/31/16,38.71729766
Texture,Sand content at the surface,"Division No. 15 - Canmore, Alberta",,mass percent,point in time,12/31/16,12/31/16,43.65800016
Texture,Sand content at the surface,"Division No. 16 - Fort McMurray, Alberta",,mass percent,point in time,12/31/16,12/31/16,45.13915715
Texture,Sand content at the surface,"Division No. 17 - Slave Lake, Alberta",,mass percent,point in time,12/31/16,12/31/16,38.95045212
Texture,Sand content at the surface,"Division No. 18 - Grande Cache, Alberta",,mass percent,point in time,12/31/16,12/31/16,37.99653958
Texture,Sand content at the surface,"Division No. 19 - Grande Prairie, Alberta",,mass percent,point in time,12/31/16,12/31/16,34.42121811
Texture,Sand content at the surface,"Division No. 2 - Lethbridge, Alberta",,mass percent,point in time,12/31/16,12/31/16,36.32966102
Texture,Sand content at the surface,"Division No. 3 - Claresholm, Alberta",,mass percent,point in time,12/31/16,12/31/16,35.47003613
Texture,Sand content at the surface,"Division No. 4 - Hanna, Alberta",,mass percent,point in time,12/31/16,12/31/16,43.08842645
Texture,Sand content at the surface,"Division No. 5 - Strathmore, Alberta",,mass percent,point in time,12/31/16,12/31/16,35.18680102
Texture,Sand content at the surface,"Division No. 6 - Calgary, Alberta",,mass percent,point in time,12/31/16,12/31/16,37.89962665
Texture,Sand content at the surface,"Division No. 7 - Wainwright, Alberta",,mass percent,point in time,12/31/16,12/31/16,44.45354479
Texture,Sand content at the surface,"Division No. 8 - Red Deer, Alberta",,mass percent,point in time,12/31/16,12/31/16,38.98134518
Texture,Sand content at the surface,"Division No. 9 - Rocky Mountain House, Alberta",,mass percent,point in time,12/31/16,12/31/16,40.71039955
Texture,Sand content at the surface,"Alberni-Clayoquot, British Columbia",,mass percent,point in time,12/31/16,12/31/16,48.41005484
Texture,Sand content at the surface,"Bulkley-Nechako, British Columbia",,mass percent,point in time,12/31/16,12/31/16,42.82880494
Texture,Sand content at the surface,"Capital, British Columbia",,mass percent,point in time,12/31/16,12/31/16,48.00751494
Texture,Sand content at the surface,"Cariboo, British Columbia",,mass percent,point in time,12/31/16,12/31/16,44.04232046
Texture,Sand content at the surface,"Central Coast, British Columbia",,mass percent,point in time,12/31/16,12/31/16,52.42821831
Texture,Sand content at the surface,"Central Kootenay, British Columbia",,mass percent,point in time,12/31/16,12/31/16,46.03862649
Texture,Sand content at the surface,"Central Okanagan, British Columbia",,mass percent,point in time,12/31/16,12/31/16,45.41723057
Texture,Sand content at the surface,"Columbia-Shuswap, British Columbia",,mass percent,point in time,12/31/16,12/31/16,43.61806398
Texture,Sand content at the surface,"Comox-Strathcona, British Columbia",,mass percent,point in time,12/31/16,12/31/16,50.99780882
Texture,Sand content at the surface,"Cowichan Valley, British Columbia",,mass percent,point in time,12/31/16,12/31/16,47.78735144
Texture,Sand content at the surface,"East Kootenay, British Columbia",,mass percent,point in time,12/31/16,12/31/16,42.40256905
Texture,Sand content at the surface,"Fraser-Fort George, British Columbia",,mass percent,point in time,12/31/16,12/31/16,40.47821992
Texture,Sand content at the surface,"Fraser Valley, British Columbia",,mass percent,point in time,12/31/16,12/31/16,55.21005956
Texture,Sand content at the surface,"Greater Vancouver, British Columbia",,mass percent,point in time,12/31/16,12/31/16,50.84138677
Texture,Sand content at the surface,"Kitimat-Stikine, British Columbia",,mass percent,point in time,12/31/16,12/31/16,49.56770421
Texture,Sand content at the surface,"Kootenay Boundary, British Columbia",,mass percent,point in time,12/31/16,12/31/16,46.29519986
Texture,Sand content at the surface,"Mount Waddington, British Columbia",,mass percent,point in time,12/31/16,12/31/16,50.44689717
Texture,Sand content at the surface,"Nanaimo, British Columbia",,mass percent,point in time,12/31/16,12/31/16,49.35246491
Texture,Sand content at the surface,"North Okanagan, British Columbia",,mass percent,point in time,12/31/16,12/31/16,43.57519561
Texture,Sand content at the surface,"Northern Rockies, British Columbia",,mass percent,point in time,12/31/16,12/31/16,39.6072138
Texture,Sand content at the surface,"Okanagan-Similkameen, British Columbia",,mass percent,point in time,12/31/16,12/31/16,51.94127625
Texture,Sand content at the surface,"Peace River, British Columbia",,mass percent,point in time,12/31/16,12/31/16,40.50600912
Texture,Sand content at the surface,"Powell River, British Columbia",,mass percent,point in time,12/31/16,12/31/16,53.56403308
Texture,Sand content at the surface,"Skeena-Queen Charlotte, British Columbia",,mass percent,point in time,12/31/16,12/31/16,51.54074165
Texture,Sand content at the surface,"Squamish-Lillooet, British Columbia",,mass percent,point in time,12/31/16,12/31/16,51.71127396
Texture,Sand content at the surface,"Stikine, British Columbia",,mass percent,point in time,12/31/16,12/31/16,48.19017863
Texture,Sand content at the surface,"Sunshine Coast, British Columbia",,mass percent,point in time,12/31/16,12/31/16,55.10933259
Texture,Sand content at the surface,"Thompson-Nicola, British Columbia",,mass percent,point in time,12/31/16,12/31/16,44.59462183
Texture,Sand content at the surface,"Division No. 1 - Eastern Manitoba, Manitoba",,mass percent,point in time,12/31/16,12/31/16,57.38927703
Texture,Sand content at the surface,"Division No. 10 - Whitehorse Plains, Manitoba",,mass percent,point in time,12/31/16,12/31/16,18.52153134
