Metric,Item,Region,Partner Region,Unit,Frequency,Start Date,End Date,Value
Texture,Sand content at 15 cm deep,"Division No. 1 - Medicine Hat, Alberta",,mass percent,point in time,12/31/16,12/31/16,36.55917785
Texture,Sand content at 15 cm deep,"Division No. 10 - Lloydminster, Alberta",,mass percent,point in time,12/31/16,12/31/16,45.64386298
Texture,Sand content at 15 cm deep,"Division No. 11 - Edmonton, Alberta",,mass percent,point in time,12/31/16,12/31/16,39.31773528
Texture,Sand content at 15 cm deep,"Division No. 12 - Cold Lake, Alberta",,mass percent,point in time,12/31/16,12/31/16,48.38776718
Texture,Sand content at 15 cm deep,"Division No. 13 - Whitecourt, Alberta",,mass percent,point in time,12/31/16,12/31/16,42.87123828
Texture,Sand content at 15 cm deep,"Division No. 14 - Hinton, Alberta",,mass percent,point in time,12/31/16,12/31/16,40.55664049
Texture,Sand content at 15 cm deep,"Division No. 15 - Canmore, Alberta",,mass percent,point in time,12/31/16,12/31/16,45.42309069
Texture,Sand content at 15 cm deep,"Division No. 16 - Fort McMurray, Alberta",,mass percent,point in time,12/31/16,12/31/16,45.38474531
Texture,Sand content at 15 cm deep,"Division No. 17 - Slave Lake, Alberta",,mass percent,point in time,12/31/16,12/31/16,39.23178387
Texture,Sand content at 15 cm deep,"Division No. 18 - Grande Cache, Alberta",,mass percent,point in time,12/31/16,12/31/16,38.99009906
Texture,Sand content at 15 cm deep,"Division No. 19 - Grande Prairie, Alberta",,mass percent,point in time,12/31/16,12/31/16,32.81935561
Texture,Sand content at 15 cm deep,"Division No. 2 - Lethbridge, Alberta",,mass percent,point in time,12/31/16,12/31/16,35.5112287
Texture,Sand content at 15 cm deep,"Division No. 3 - Claresholm, Alberta",,mass percent,point in time,12/31/16,12/31/16,35.23755145
Texture,Sand content at 15 cm deep,"Division No. 4 - Hanna, Alberta",,mass percent,point in time,12/31/16,12/31/16,42.17364132
Texture,Sand content at 15 cm deep,"Division No. 5 - Strathmore, Alberta",,mass percent,point in time,12/31/16,12/31/16,34.64781309
Texture,Sand content at 15 cm deep,"Division No. 6 - Calgary, Alberta",,mass percent,point in time,12/31/16,12/31/16,37.55912588
Texture,Sand content at 15 cm deep,"Division No. 7 - Wainwright, Alberta",,mass percent,point in time,12/31/16,12/31/16,44.14236929
Texture,Sand content at 15 cm deep,"Division No. 8 - Red Deer, Alberta",,mass percent,point in time,12/31/16,12/31/16,38.46876022
Texture,Sand content at 15 cm deep,"Division No. 9 - Rocky Mountain House, Alberta",,mass percent,point in time,12/31/16,12/31/16,42.20686643
Texture,Sand content at 15 cm deep,"Alberni-Clayoquot, British Columbia",,mass percent,point in time,12/31/16,12/31/16,49.13472827
Texture,Sand content at 15 cm deep,"Bulkley-Nechako, British Columbia",,mass percent,point in time,12/31/16,12/31/16,44.48114926
Texture,Sand content at 15 cm deep,"Capital, British Columbia",,mass percent,point in time,12/31/16,12/31/16,48.47134927
Texture,Sand content at 15 cm deep,"Cariboo, British Columbia",,mass percent,point in time,12/31/16,12/31/16,45.31143343
Texture,Sand content at 15 cm deep,"Central Coast, British Columbia",,mass percent,point in time,12/31/16,12/31/16,54.85872966
Texture,Sand content at 15 cm deep,"Central Kootenay, British Columbia",,mass percent,point in time,12/31/16,12/31/16,47.68444352
Texture,Sand content at 15 cm deep,"Central Okanagan, British Columbia",,mass percent,point in time,12/31/16,12/31/16,46.5784783
Texture,Sand content at 15 cm deep,"Columbia-Shuswap, British Columbia",,mass percent,point in time,12/31/16,12/31/16,45.58859147
Texture,Sand content at 15 cm deep,"Comox-Strathcona, British Columbia",,mass percent,point in time,12/31/16,12/31/16,52.43995395
Texture,Sand content at 15 cm deep,"Cowichan Valley, British Columbia",,mass percent,point in time,12/31/16,12/31/16,48.15996038
Texture,Sand content at 15 cm deep,"East Kootenay, British Columbia",,mass percent,point in time,12/31/16,12/31/16,44.18766715
Texture,Sand content at 15 cm deep,"Fraser-Fort George, British Columbia",,mass percent,point in time,12/31/16,12/31/16,42.2386105
Texture,Sand content at 15 cm deep,"Fraser Valley, British Columbia",,mass percent,point in time,12/31/16,12/31/16,56.82967256
Texture,Sand content at 15 cm deep,"Greater Vancouver, British Columbia",,mass percent,point in time,12/31/16,12/31/16,51.23714266
Texture,Sand content at 15 cm deep,"Kitimat-Stikine, British Columbia",,mass percent,point in time,12/31/16,12/31/16,51.75205052
Texture,Sand content at 15 cm deep,"Kootenay Boundary, British Columbia",,mass percent,point in time,12/31/16,12/31/16,47.66440942
Texture,Sand content at 15 cm deep,"Mount Waddington, British Columbia",,mass percent,point in time,12/31/16,12/31/16,52.47863919
Texture,Sand content at 15 cm deep,"Nanaimo, British Columbia",,mass percent,point in time,12/31/16,12/31/16,49.94500072
Texture,Sand content at 15 cm deep,"North Okanagan, British Columbia",,mass percent,point in time,12/31/16,12/31/16,44.89148715
Texture,Sand content at 15 cm deep,"Northern Rockies, British Columbia",,mass percent,point in time,12/31/16,12/31/16,40.63963089
Texture,Sand content at 15 cm deep,"Okanagan-Similkameen, British Columbia",,mass percent,point in time,12/31/16,12/31/16,53.25370227
Texture,Sand content at 15 cm deep,"Peace River, British Columbia",,mass percent,point in time,12/31/16,12/31/16,41.9536396
Texture,Sand content at 15 cm deep,"Powell River, British Columbia",,mass percent,point in time,12/31/16,12/31/16,55.14979147
