Metric,Item,Region,Partner Region,Unit,Frequency,Start Date,End Date,Value
Texture,Silt content at 5 cm deep,"Division No. 1 - Medicine Hat, Alberta",,mass percent,point in time,12/31/16,12/31/16,37.07784197
Texture,Silt content at 5 cm deep,"Division No. 10 - Lloydminster, Alberta",,mass percent,point in time,12/31/16,12/31/16,32.79138331
Texture,Silt content at 5 cm deep,"Division No. 11 - Edmonton, Alberta",,mass percent,point in time,12/31/16,12/31/16,38.62382512
Texture,Silt content at 5 cm deep,"Division No. 12 - Cold Lake, Alberta",,mass percent,point in time,12/31/16,12/31/16,33.56470382
Texture,Silt content at 5 cm deep,"Division No. 13 - Whitecourt, Alberta",,mass percent,point in time,12/31/16,12/31/16,37.18639566
Texture,Silt content at 5 cm deep,"Division No. 14 - Hinton, Alberta",,mass percent,point in time,12/31/16,12/31/16,44.63446855
Texture,Silt content at 5 cm deep,"Division No. 15 - Canmore, Alberta",,mass percent,point in time,12/31/16,12/31/16,42.19648976
Texture,Silt content at 5 cm deep,"Division No. 16 - Fort McMurray, Alberta",,mass percent,point in time,12/31/16,12/31/16,32.90673031
Texture,Silt content at 5 cm deep,"Division No. 17 - Slave Lake, Alberta",,mass percent,point in time,12/31/16,12/31/16,36.46449759
Texture,Silt content at 5 cm deep,"Division No. 18 - Grande Cache, Alberta",,mass percent,point in time,12/31/16,12/31/16,43.25916495
Texture,Silt content at 5 cm deep,"Division No. 19 - Grande Prairie, Alberta",,mass percent,point in time,12/31/16,12/31/16,38.42835453
Texture,Silt content at 5 cm deep,"Division No. 2 - Lethbridge, Alberta",,mass percent,point in time,12/31/16,12/31/16,38.00382242
Texture,Silt content at 5 cm deep,"Division No. 3 - Claresholm, Alberta",,mass percent,point in time,12/31/16,12/31/16,39.80696629
Texture,Silt content at 5 cm deep,"Division No. 4 - Hanna, Alberta",,mass percent,point in time,12/31/16,12/31/16,33.97225936
Texture,Silt content at 5 cm deep,"Division No. 5 - Strathmore, Alberta",,mass percent,point in time,12/31/16,12/31/16,37.88063337
Texture,Silt content at 5 cm deep,"Division No. 6 - Calgary, Alberta",,mass percent,point in time,12/31/16,12/31/16,38.87170214
Texture,Silt content at 5 cm deep,"Division No. 7 - Wainwright, Alberta",,mass percent,point in time,12/31/16,12/31/16,33.12669476
Texture,Silt content at 5 cm deep,"Division No. 8 - Red Deer, Alberta",,mass percent,point in time,12/31/16,12/31/16,38.35053429
Texture,Silt content at 5 cm deep,"Division No. 9 - Rocky Mountain House, Alberta",,mass percent,point in time,12/31/16,12/31/16,42.31435646
Texture,Silt content at 5 cm deep,"Alberni-Clayoquot, British Columbia",,mass percent,point in time,12/31/16,12/31/16,38.03498239
Texture,Silt content at 5 cm deep,"Bulkley-Nechako, British Columbia",,mass percent,point in time,12/31/16,12/31/16,43.75384116
Texture,Silt content at 5 cm deep,"Capital, British Columbia",,mass percent,point in time,12/31/16,12/31/16,38.45700256
Texture,Silt content at 5 cm deep,"Cariboo, British Columbia",,mass percent,point in time,12/31/16,12/31/16,42.20935378
Texture,Silt content at 5 cm deep,"Central Coast, British Columbia",,mass percent,point in time,12/31/16,12/31/16,37.67082514
Texture,Silt content at 5 cm deep,"Central Kootenay, British Columbia",,mass percent,point in time,12/31/16,12/31/16,44.64373042
Texture,Silt content at 5 cm deep,"Central Okanagan, British Columbia",,mass percent,point in time,12/31/16,12/31/16,43.96481268
Texture,Silt content at 5 cm deep,"Columbia-Shuswap, British Columbia",,mass percent,point in time,12/31/16,12/31/16,45.89144786
Texture,Silt content at 5 cm deep,"Comox-Strathcona, British Columbia",,mass percent,point in time,12/31/16,12/31/16,37.94598247
Texture,Silt content at 5 cm deep,"Cowichan Valley, British Columbia",,mass percent,point in time,12/31/16,12/31/16,39.05475382
Texture,Silt content at 5 cm deep,"East Kootenay, British Columbia",,mass percent,point in time,12/31/16,12/31/16,45.1778507
Texture,Silt content at 5 cm deep,"Fraser-Fort George, British Columbia",,mass percent,point in time,12/31/16,12/31/16,45.17946134
Texture,Silt content at 5 cm deep,"Fraser Valley, British Columbia",,mass percent,point in time,12/31/16,12/31/16,36.04844764
Texture,Silt content at 5 cm deep,"Greater Vancouver, British Columbia",,mass percent,point in time,12/31/16,12/31/16,36.88507806
Texture,Silt content at 5 cm deep,"Kitimat-Stikine, British Columbia",,mass percent,point in time,12/31/16,12/31/16,40.62080173
Texture,Silt content at 5 cm deep,"Kootenay Boundary, British Columbia",,mass percent,point in time,12/31/16,12/31/16,44.68478456
Texture,Silt content at 5 cm deep,"Mount Waddington, British Columbia",,mass percent,point in time,12/31/16,12/31/16,38.19012275
Texture,Silt content at 5 cm deep,"Nanaimo, British Columbia",,mass percent,point in time,12/31/16,12/31/16,37.85406985
Texture,Silt content at 5 cm deep,"North Okanagan, British Columbia",,mass percent,point in time,12/31/16,12/31/16,45.75331521
Texture,Silt content at 5 cm deep,"Northern Rockies, British Columbia",,mass percent,point in time,12/31/16,12/31/16,38.47976653
Texture,Silt content at 5 cm deep,"Okanagan-Similkameen, British Columbia",,mass percent,point in time,12/31/16,12/31/16,39.60974473
Texture,Silt content at 5 cm deep,"Peace River, British Columbia",,mass percent,point in time,12/31/16,12/31/16,42.00944446
Texture,Silt content at 5 cm deep,"Powell River, British Columbia",,mass percent,point in time,12/31/16,12/31/16,36.54315606
Texture,Silt content at 5 cm deep,"Skeena-Queen Charlotte, British Columbia",,mass percent,point in time,12/31/16,12/31/16,38.06156587
Texture,Silt content at 5 cm deep,"Squamish-Lillooet, British Columbia",,mass percent,point in time,12/31/16,12/31/16,38.74035655
Texture,Silt content at 5 cm deep,"Stikine, British Columbia",,mass percent,point in time,12/31/16,12/31/16,39.74246449
Texture,Silt content at 5 cm deep,"Sunshine Coast, British Columbia",,mass percent,point in time,12/31/16,12/31/16,36.08715037
Texture,Silt content at 5 cm deep,"Thompson-Nicola, British Columbia",,mass percent,point in time,12/31/16,12/31/16,43.36879611
Texture,Silt content at 5 cm deep,"Division No. 1 - Eastern Manitoba, Manitoba",,mass percent,point in time,12/31/16,12/31/16,23.8701716
Texture,Silt content at 5 cm deep,"Division No. 10 - Whitehorse Plains, Manitoba",,mass percent,point in time,12/31/16,12/31/16,33.70560419
Texture,Silt content at 5 cm deep,"Division No. 11 - Winnipeg, Manitoba",,mass percent,point in time,12/31/16,12/31/16,29.90096699
Texture,Silt content at 5 cm deep,"Division No. 12 - Beausejour Area, Manitoba",,mass percent,point in time,12/31/16,12/31/16,27.12096565
Texture,Silt content at 5 cm deep,"Division No. 13 - Selkirk Area, Manitoba",,mass percent,point in time,12/31/16,12/31/16,29.97592019
Texture,Silt content at 5 cm deep,"Division No. 14 - South Interlake, Manitoba",,mass percent,point in time,12/31/16,12/31/16,29.68238919
Texture,Silt content at 5 cm deep,"Division No. 15 - Western Manitoba, Manitoba",,mass percent,point in time,12/31/16,12/31/16,33.20468894
Texture,Silt content at 5 cm deep,"Division No. 16 - Roblin Russell Rossburn Area, Manitoba",,mass percent,point in time,12/31/16,12/31/16,34.24240153
Texture,Silt content at 5 cm deep,"Division No. 17 - Dauphin, Manitoba",,mass percent,point in time,12/31/16,12/31/16,31.40199545
Texture,Silt content at 5 cm deep,"Division No. 18 - North Interlake Area, Manitoba",,mass percent,point in time,12/31/16,12/31/16,31.45900528
Texture,Silt content at 5 cm deep,"Division No. 19 - North East, Manitoba",,mass percent,point in time,12/31/16,12/31/16,30.16061449
Texture,Silt content at 5 cm deep,"Division No. 2 - Steinbach Area, Manitoba",,mass percent,point in time,12/31/16,12/31/16,24.02521119
Texture,Silt content at 5 cm deep,"Division No. 20 - Swan River, Manitoba",,mass percent,point in time,12/31/16,12/31/16,33.10607354
Texture,Silt content at 5 cm deep,"Division No. 21 - Flin Flon, Manitoba",,mass percent,point in time,12/31/16,12/31/16,30.4106827
