Metric,Item,Region,Partner Region,Unit,Frequency,Start Date,End Date,Value
Texture,Silt content at the surface,"Division No. 1 - Medicine Hat, Alberta",,mass percent,point in time,12/31/16,12/31/16,37.56113886
Texture,Silt content at the surface,"Division No. 10 - Lloydminster, Alberta",,mass percent,point in time,12/31/16,12/31/16,33.1977289
Texture,Silt content at the surface,"Division No. 11 - Edmonton, Alberta",,mass percent,point in time,12/31/16,12/31/16,39.05072812
Texture,Silt content at the surface,"Division No. 12 - Cold Lake, Alberta",,mass percent,point in time,12/31/16,12/31/16,33.96420959
Texture,Silt content at the surface,"Division No. 13 - Whitecourt, Alberta",,mass percent,point in time,12/31/16,12/31/16,37.60990398
Texture,Silt content at the surface,"Division No. 14 - Hinton, Alberta",,mass percent,point in time,12/31/16,12/31/16,45.65097694
Texture,Silt content at the surface,"Division No. 15 - Canmore, Alberta",,mass percent,point in time,12/31/16,12/31/16,43.00327977
Texture,Silt content at the surface,"Division No. 16 - Fort McMurray, Alberta",,mass percent,point in time,12/31/16,12/31/16,33.27991231
Texture,Silt content at the surface,"Division No. 17 - Slave Lake, Alberta",,mass percent,point in time,12/31/16,12/31/16,36.87140992
Texture,Silt content at the surface,"Division No. 18 - Grande Cache, Alberta",,mass percent,point in time,12/31/16,12/31/16,44.06126497
Texture,Silt content at the surface,"Division No. 19 - Grande Prairie, Alberta",,mass percent,point in time,12/31/16,12/31/16,38.81242605
Texture,Silt content at the surface,"Division No. 2 - Lethbridge, Alberta",,mass percent,point in time,12/31/16,12/31/16,38.46100112
Texture,Silt content at the surface,"Division No. 3 - Claresholm, Alberta",,mass percent,point in time,12/31/16,12/31/16,40.29942903
Texture,Silt content at the surface,"Division No. 4 - Hanna, Alberta",,mass percent,point in time,12/31/16,12/31/16,34.28024982
Texture,Silt content at the surface,"Division No. 5 - Strathmore, Alberta",,mass percent,point in time,12/31/16,12/31/16,38.23133651
Texture,Silt content at the surface,"Division No. 6 - Calgary, Alberta",,mass percent,point in time,12/31/16,12/31/16,39.38838597
Texture,Silt content at the surface,"Division No. 7 - Wainwright, Alberta",,mass percent,point in time,12/31/16,12/31/16,33.52306356
Texture,Silt content at the surface,"Division No. 8 - Red Deer, Alberta",,mass percent,point in time,12/31/16,12/31/16,38.80869044
Texture,Silt content at the surface,"Division No. 9 - Rocky Mountain House, Alberta",,mass percent,point in time,12/31/16,12/31/16,43.15319381
Texture,Silt content at the surface,"Alberni-Clayoquot, British Columbia",,mass percent,point in time,12/31/16,12/31/16,38.55729592
Texture,Silt content at the surface,"Bulkley-Nechako, British Columbia",,mass percent,point in time,12/31/16,12/31/16,44.47159797
Texture,Silt content at the surface,"Capital, British Columbia",,mass percent,point in time,12/31/16,12/31/16,39.03740393
Texture,Silt content at the surface,"Cariboo, British Columbia",,mass percent,point in time,12/31/16,12/31/16,42.87923361
Texture,Silt content at the surface,"Central Coast, British Columbia",,mass percent,point in time,12/31/16,12/31/16,38.22214375
Texture,Silt content at the surface,"Central Kootenay, British Columbia",,mass percent,point in time,12/31/16,12/31/16,45.26359624
Texture,Silt content at the surface,"Central Okanagan, British Columbia",,mass percent,point in time,12/31/16,12/31/16,44.58389173
Texture,Silt content at the surface,"Columbia-Shuswap, British Columbia",,mass percent,point in time,12/31/16,12/31/16,46.51731652
