Region,Start Date,End Date,Deliveries,Prices
Alberta,2019-01-01,2019-01-31,445628.25277821574,406
Alberta,2019-02-01,2019-02-28,282747.57831345673,302
Alberta,2019-03-01,2019-03-31,452457.1513823611,394
Alberta,2019-04-01,2019-04-30,315219.6109778519,369
Alberta,2019-05-01,2019-05-31,284524.86872023944,411
Alberta,2019-06-01,2019-06-30,519157.8598074638,395
Alberta,2019-07-01,2019-07-31,326228.65589094465,410
Alberta,2019-08-01,2019-08-31,167450.6621430344,443
Alberta,2019-09-01,2019-09-30,394898.5834519323,344
Alberta,2019-10-01,2019-10-31,366713.8759200603,441
Alberta,2019-11-01,2019-11-30,388207.6828964576,390
Alberta,2019-12-01,2019-12-31,382969.1479253789,487
British Columbia,2019-01-01,2019-01-31,7256.102321594187,435
British Columbia,2019-02-01,2019-02-28,4140.441919135123,405
British Columbia,2019-03-01,2019-03-31,3623.3112419039544,429
British Columbia,2019-04-01,2019-04-30,2781.9653602367625,337
British Columbia,2019-05-01,2019-05-31,2788.0526350565915,484
British Columbia,2019-06-01,2019-06-30,3004.8290969408304,348
British Columbia,2019-07-01,2019-07-31,21.405522672403094,382
British Columbia,2019-08-01,2019-08-31,1619.9370711324518,417
British Columbia,2019-09-01,2019-09-30,10363.544295052317,306
British Columbia,2019-10-01,2019-10-31,15241.111794263674,476
British Columbia,2019-11-01,2019-11-30,12963.981658737352,406
British Columbia,2019-12-01,2019-12-31,9837.417462362188,301
Manitoba,2019-01-01,2019-01-31,170086.72502493457,341
Manitoba,2019-02-01,2019-02-28,147007.09195348065,345
Manitoba,2019-03-01,2019-03-31,164301.91356845782,325
Manitoba,2019-04-01,2019-04-30,140852.81641171224,406
Manitoba,2019-05-01,2019-05-31,125704.60265933175,474
Manitoba,2019-06-01,2019-06-30,156220.72605140047,346
Manitoba,2019-07-01,2019-07-31,136254.3009861363,396
Manitoba,2019-08-01,2019-08-31,194962.1321259384,434
Manitoba,2019-09-01,2019-09-30,313646.2102195607,481
Manitoba,2019-10-01,2019-10-31,217179.1333006152,310
Manitoba,2019-11-01,2019-11-30,197308.39732266706,330
Manitoba,2019-12-01,2019-12-31,141593.8329556052,355
Ontario,2019-01-01,2019-01-31,1830.7100304686146,493
Ontario,2019-02-01,2019-02-28,1495.639771351595,471
Ontario,2019-03-01,2019-03-31,1139.3947435079162,365
Ontario,2019-04-01,2019-04-30,780.8184864035137,411
Ontario,2019-05-01,2019-05-31,307.3726200156425,333
Ontario,2019-06-01,2019-06-30,200.46000869652562,342
Ontario,2019-07-01,2019-07-31,1227.7738570739148,302
Ontario,2019-08-01,2019-08-31,3090.6782579985374,358
Ontario,2019-09-01,2019-09-30,12397.805116200609,438
Ontario,2019-10-01,2019-10-31,7881.482199544996,340
Ontario,2019-11-01,2019-11-30,1621.3331738361273,382
Ontario,2019-12-01,2019-12-31,1894.7305284741572,312
Québec,2019-01-01,2019-01-31,2565.1700925897485,482
Québec,2019-02-01,2019-02-28,765.794767454843,320
Québec,2019-03-01,2019-03-31,979.181718793403,345
Québec,2019-04-01,2019-04-30,589.2786877140946,497
Québec,2019-05-01,2019-05-31,466.4918721522454,394
Québec,2019-06-01,2019-06-30,563.760120755524,473
Québec,2019-07-01,2019-07-31,389.46893329025033,494
Québec,2019-08-01,2019-08-31,580.8658973768456,423
Québec,2019-09-01,2019-09-30,3888.177179761051,315
Québec,2019-10-01,2019-10-31,5229.995276102116,460
Québec,2019-11-01,2019-11-30,2893.218228601155,383
Québec,2019-12-01,2019-12-31,1825.02434578966,407
Saskatchewan,2019-01-01,2019-01-31,774195.551470553,351
Saskatchewan,2019-02-01,2019-02-28,431902.64060565,496
Saskatchewan,2019-03-01,2019-03-31,405923.1619020272,478
Saskatchewan,2019-04-01,2019-04-30,442915.2306658563,442
Saskatchewan,2019-05-01,2019-05-31,371005.0027922252,320
Saskatchewan,2019-06-01,2019-06-30,973751.0765508718,342
Saskatchewan,2019-07-01,2019-07-31,538494.9767576136,359
Saskatchewan,2019-08-01,2019-08-31,388125.3427463526,341
Saskatchewan,2019-09-01,2019-09-30,637640.7141903895,373
Saskatchewan,2019-10-01,2019-10-31,520252.6449823257,437
Saskatchewan,2019-11-01,2019-11-30,381502.9501524008,433
Saskatchewan,2019-12-01,2019-12-31,495470.17013220314,300
