Region,Start Date,End Date,Deliveries,Prices
Alberta,2019-01-01,2019-01-31,,
Alberta,2019-02-01,2019-02-28,,
Alberta,2019-03-01,2019-03-31,,
Alberta,2019-04-01,2019-04-30,,
Alberta,2019-05-01,2019-05-31,,
Alberta,2019-06-01,2019-06-30,,
Alberta,2019-07-01,2019-07-31,,
Alberta,2019-08-01,2019-08-31,,
Alberta,2019-09-01,2019-09-30,,
Alberta,2019-10-01,2019-10-31,,
Alberta,2019-11-01,2019-11-30,,
Alberta,2019-12-01,2019-12-31,,
British Columbia,2019-01-01,2019-01-31,,
British Columbia,2019-02-01,2019-02-28,,
British Columbia,2019-03-01,2019-03-31,,
British Columbia,2019-04-01,2019-04-30,,
British Columbia,2019-05-01,2019-05-31,,
British Columbia,2019-06-01,2019-06-30,,
British Columbia,2019-07-01,2019-07-31,,
British Columbia,2019-08-01,2019-08-31,,
British Columbia,2019-09-01,2019-09-30,,
British Columbia,2019-10-01,2019-10-31,,
British Columbia,2019-11-01,2019-11-30,,
British Columbia,2019-12-01,2019-12-31,,
Manitoba,2019-01-01,2019-01-31,,
Manitoba,2019-02-01,2019-02-28,,
Manitoba,2019-03-01,2019-03-31,,
Manitoba,2019-04-01,2019-04-30,,
Manitoba,2019-05-01,2019-05-31,,
Manitoba,2019-06-01,2019-06-30,,
Manitoba,2019-07-01,2019-07-31,,
Manitoba,2019-08-01,2019-08-31,,
Manitoba,2019-09-01,2019-09-30,,
Manitoba,2019-10-01,2019-10-31,,
Manitoba,2019-11-01,2019-11-30,,
Manitoba,2019-12-01,2019-12-31,,
Ontario,2019-01-01,2019-01-31,,
Ontario,2019-02-01,2019-02-28,,
Ontario,2019-03-01,2019-03-31,,
Ontario,2019-04-01,2019-04-30,,
Ontario,2019-05-01,2019-05-31,,
Ontario,2019-06-01,2019-06-30,,
Ontario,2019-07-01,2019-07-31,,
Ontario,2019-08-01,2019-08-31,,
Ontario,2019-09-01,2019-09-30,,
Ontario,2019-10-01,2019-10-31,,
Ontario,2019-11-01,2019-11-30,,
Ontario,2019-12-01,2019-12-31,,
Québec,2019-01-01,2019-01-31,,
Québec,2019-02-01,2019-02-28,,
Québec,2019-03-01,2019-03-31,,
Québec,2019-04-01,2019-04-30,,
Québec,2019-05-01,2019-05-31,,
Québec,2019-06-01,2019-06-30,,
Québec,2019-07-01,2019-07-31,,
Québec,2019-08-01,2019-08-31,,
Québec,2019-09-01,2019-09-30,,
Québec,2019-10-01,2019-10-31,,
Québec,2019-11-01,2019-11-30,,
Québec,2019-12-01,2019-12-31,,
Saskatchewan,2019-01-01,2019-01-31,,
Saskatchewan,2019-02-01,2019-02-28,,
Saskatchewan,2019-03-01,2019-03-31,,
Saskatchewan,2019-04-01,2019-04-30,,
Saskatchewan,2019-05-01,2019-05-31,,
Saskatchewan,2019-06-01,2019-06-30,,
Saskatchewan,2019-07-01,2019-07-31,,
Saskatchewan,2019-08-01,2019-08-31,,
Saskatchewan,2019-09-01,2019-09-30,,
Saskatchewan,2019-10-01,2019-10-31,,
Saskatchewan,2019-11-01,2019-11-30,,
Saskatchewan,2019-12-01,2019-12-31,,
